user_id,Username,anime_id,Anime Title,rating
55517,galaxxxy,578.0,Hotaru no Haka,6.0
553333,Jkunjp,8599.0,Mayoi Neko Overrun! Specials,10.0
507703,MarioGomez,1840.0,Zero no Tsukaima: Futatsuki no Kishi,5.0
426771,ZertoH,2191.0,Waver,7.0
350528,Poliander,3455.0,To LOVE-Ru,7.0
305423,zellii,390.0,Suzuka,9.0
100535,isocum,4382.0,Suzumiya Haruhi no Yuuutsu (2009),3.0
58484,yosuke_kun,712.0,Zoids Genesis,8.0
381720,kadze,9253.0,Steins;Gate,10.0
328485,edelweiss,121.0,Fullmetal Alchemist,8.0
558889,aishiraishi,10163.0,C: The Money of Soul and Possibility Control,8.0
101955,Trilioh,34134.0,One Punch Man 2nd Season,7.0
38154,ForlornHope,61.0,D.N.Angel,7.0
509638,Coolman920,19815.0,No Game No Life,8.0
10184,xoxl,5300.0,Zoku Natsume Yuujinchou,10.0
89794,Razma,385.0,Gilgamesh,9.0
371836,weast,5205.0,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),7.0
311388,Asterik,2171.0,Detective Conan Movie 11: Jolly Roger in the Deep Azure,6.0
290065,Karutsuki,9756.0,Mahou Shoujo Madoka★Magica,9.0
15740,kaworu5,1815.0,Shakugan no Shana Movie,6.0
366134,kamui_san,228.0,Jigoku Shoujo,8.0
430890,pedrocerdeira,356.0,Fate/stay night,9.0
69115,joanah009,888.0,Megami Kouhosei,7.0
357720,B3tr4y3r,32281.0,Kimi no Na wa.,7.0
25126,cjblackwing,3613.0,Toshokan Sensou,9.0
60711,Fabrice,5940.0,Seiken no Blacksmith,5.0
50850,StormCast,487.0,Girls Bravo: Second Season,6.0
382684,_kyynooss,65.0,Rozen Maiden: Träumend,8.0
335052,blackmageonfire,1519.0,Black Lagoon: The Second Barrage,9.0
416139,theblackknight,675.0,One: Kagayaku Kisetsu e,5.0
474869,saxtonhale,2001.0,Tengen Toppa Gurren Lagann,9.0
88872,sodiumplus,4028.0,Slayers Revolution,9.0
1116225,4roymarc,9919.0,Ao no Exorcist,7.0
82019,nesp,102.0,Aishiteruze Baby★★,8.0
430770,TanTheMan,12069.0,Hajime no Ippo: Boxer no Kobushi,8.0
408723,Yuphie,20.0,Naruto,7.0
1124765,Falav,10793.0,Guilty Crown,8.0
484238,Narfini,150.0,Blood+,6.0
312116,Lister313,6573.0,Darker than Black: Ryuusei no Gemini,8.0
560453,Barnabii,18179.0,Yowamushi Pedal,6.0
356354,Lizardos,16001.0,Kokoro Connect: Michi Random,8.0
23774,Stajfoo,14653.0,Hayate no Gotoku! Can't Take My Eyes Off You,7.0
360407,Kevskies,12531.0,Sakamichi no Apollon,9.0
29543,KhalReblic23,194.0,Macross Zero,8.0
315791,_yorokonde_,22135.0,Ping Pong the Animation,8.0
421728,RoyalFelguard,2404.0,Zombie-Loan,7.0
318284,Ariko-san,3417.0,Yawaraka Sangokushi Tsukisase!! Ryofuko-chan,6.0
1068535,bradley144,199.0,Sen to Chihiro no Kamikakushi,8.0
69174,ParsleyOat,21.0,One Piece,7.0
72349,poonfisher69,512.0,Majo no Takkyuubin,9.0
81599,dhaithi,10379.0,Natsume Yuujinchou San,9.0
1107353,WOND3rGnome,7054.0,Kaichou wa Maid-sama!,8.0
29968,TiGeR_991,477.0,Aria the Animation,8.0
440057,Gingerspine,6746.0,Durarara!!,9.0
539011,nail46,379.0,Heppoko Jikken Animation Excel♥Saga,4.0
25229,Iplewhelmed,2799.0,Hello! Sandybell,9.0
14366,Eire,5220.0,Shangri-La,4.0
501272,O1ja,512.0,Majo no Takkyuubin,8.0
399281,Manoten,18295.0,Kakumeiki Valvrave 2nd Season,7.0
1101301,kyoaniftw,9656.0,Kimi ni Todoke 2nd Season,6.0
448410,LuminaFlare,40904.0,Bokutachi no Remake,7.0
27495,lunabor,16918.0,Gin no Saji,8.0
382181,fariss92,223.0,Dragon Ball,7.0
1061905,Kakanin,10897.0,Boku wa Tomodachi ga Sukunai: Yaminabe wa Bishoujo ga Zannen na Nioi,7.0
401208,Yumekichi11,416.0,Kurenai no Buta,9.0
969775,greatedcorn,1579.0,Kiniro no Corda: Primo Passo,8.0
298708,iKaitou,2001.0,Tengen Toppa Gurren Lagann,9.0
343267,ch35t3r,10681.0,Blood-C: The Last Dark,6.0
510614,DarkDeoxys,9917.0,Pokemon Movie 14 White: Victini to Kuroki Eiyuu Zekrom,6.0
426155,Ficik,10893.0,Kyousou Giga,9.0
40178,SailorCardKnight,1078.0,Cardcaptor Sakura: Kero-chan ni Omakase!,8.0
25740,Sn00py_Legend,2159.0,Ookiku Furikabutte,7.0
60936,QuorQ,4548.0,Yozakura Quartet,6.0
564885,TheApatheticHero,15879.0,Chuunibyou demo Koi ga Shitai! Depth of Field: Ai to Nikushimi Gekijou,6.0
864385,rilakkumas,4752.0,Vampire Knight Guilty,9.0
78404,Unitedsticks,577.0,Kagi Hime Monogatari: Eikyuu Alice Rondo,8.0
336759,prodigyarcangel,27655.0,Aldnoah.Zero Part 2,8.0
45889,Huntestik,382.0,Futari Ecchi,7.0
30861,BD,2167.0,Clannad,9.0
418261,Genre,5341.0,Ookami to Koushinryou II,8.0
425737,Aniratac,6500.0,Seikon no Qwaser,8.0
77293,kowz,24011.0,Lance N' Masques,3.0
507940,Thaaye_e,5258.0,Hajime no Ippo: New Challenger,10.0
374221,FXAW,20555.0,SoniAni: Super Sonico The Animation,6.0
35246,hitokiri000,24833.0,Ansatsu Kyoushitsu,9.0
60973,wiwo,4186.0,Chrome Shelled Regios,8.0
739805,DGM_Yui,389.0,Karas,8.0
395476,Mystic_Topaz,9919.0,Ao no Exorcist,8.0
390768,conker88,962.0,Aria the Natural,10.0
299399,blekohl,35838.0,Shoujo Shuumatsu Ryokou,10.0
298712,Ivory,39741.0,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,9.0
498091,denomus,16910.0,Namiuchigiwa no Muromi-san,8.0
329483,Nana-tan,1689.0,Byousoku 5 Centimeter,10.0
1062481,Yukiko_Fukada,1535.0,Death Note,10.0
119085,kaosu-kun,4752.0,Vampire Knight Guilty,7.0
385619,Vanheart,9760.0,Hoshi wo Ou Kodomo,8.0
311608,Slushpuppy282,251.0,Kyou kara Maou!,8.0
72606,gloomheart,11843.0,Danshi Koukousei no Nichijou,8.0
476223,gamefreak55,7769.0,Ookami-san to Shichinin no Nakama-tachi,7.0
48024,Lucek,4901.0,Black Lagoon: Roberta's Blood Trail,10.0
569753,wldms11,4550.0,Hyakko,10.0
435884,kamio93,269.0,Bleach,9.0
34197,lakkachan,1379.0,Kino no Tabi: The Beautiful World - Nanika wo Suru Tame ni - Life Goes On.,9.0
399338,Yotsubatozetsubo,2921.0,Ashita no Joe 2,7.0
580435,Lavrence92,512.0,Majo no Takkyuubin,8.0
90690,skules,1575.0,Code Geass: Hangyaku no Lelouch,8.0
113319,caliburX,2001.0,Tengen Toppa Gurren Lagann,8.0
379078,CyxMeT,48239.0,Leadale no Daichi nite,6.0
569613,rafi_virsuit,1525.0,Pokemon Crystal: Raikou Ikazuchi no Densetsu,5.0
13227,COpeter,567.0,The Big O,7.0
33108,Kiniro,2251.0,Baccano!,10.0
489962,ManDurphies,6702.0,Fairy Tail,7.0
21632,MeteorFlare,11785.0,Haiyore! Nyaruko-san,10.0
290515,enmaaa,3588.0,Soul Eater,8.0
354325,rayed82,39292.0,Princess Connect! Re:Dive,4.0
543049,Arbayest,14227.0,Tonari no Kaibutsu-kun,8.0
337705,MaSaoMi-KIDA,12365.0,Bakuman. 3rd Season,9.0
301756,Belisar,23199.0,Durarara!!x2 Shou,7.0
97851,escape_rope,31964.0,Boku no Hero Academia,8.0
415397,xlollyx,28497.0,Rokka no Yuusha,7.0
364868,Dream905,7054.0,Kaichou wa Maid-sama!,8.0
399930,kitsplut,35434.0,Konbini Kareshi,5.0
71657,Kenzoku,22147.0,Amagi Brilliant Park,7.0
32762,cutepopularmaido,8426.0,Hourou Musuko,5.0
1064299,invASIAN,11597.0,Nisemonogatari,9.0
86671,kizuki-sama,24.0,School Rumble,8.0
333249,zswader,1807.0,Prism Ark,5.0
428250,noitaneito,6377.0,Zan Sayonara Zetsubou Sensei,7.0
101948,Lady_Nera,34337.0,Ikemen Sengoku: Toki wo Kakeru ga Koi wa Hajimaranai,6.0
19616,skmDoll,1946.0,Ashita no Nadja,9.0
371024,suixdream,18099.0,Recorder to Randoseru Mi☆,6.0
516967,Hantek,355.0,Shakugan no Shana,7.0
70555,sakurajade,2580.0,Tsukuyomi: Moon Phase Special,6.0
347447,Hesee,26055.0,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,9.0
111634,Immortal_Phoenix,28907.0,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",9.0
326851,lews_the_blue,2890.0,Gake no Ue no Ponyo,10.0
571557,Nekwo,552.0,Digimon Adventure,8.0
341431,raeuberritze,16381.0,Santa Company,6.0
350820,primaryenvy,2034.0,Lovely★Complex,6.0
75446,p01ntl3ss,3613.0,Toshokan Sensou,8.0
1085357,Berelis,38472.0,Isekai Quartet,9.0
353469,DUO_POL,2385.0,One Piece: Jango no Dance Carnival,10.0
88511,tekgen,66.0,Azumanga Daiou The Animation,8.0
464489,561891,1138.0,Medarot,7.0
96096,mimzy,322.0,Paradise Kiss,10.0
14833,Cniht,2928.0,.hack//G.U. Returner,6.0
105978,silverdragon711,536.0,Slayers: The Motion Picture,7.0
466587,Mambusia66,36038.0,Net-juu no Susume,7.0
