user_id,Username,anime_id,Anime Title,rating
339208,kanrinin,71.0,Full Metal Panic!,8.0
628675,Sekaya,953.0,Juu Ou Sei,8.0
79371,frailpopuri,8425.0,Gosick,5.0
524889,erielm,49109.0,Kami-tachi ni Hirowareta Otoko 2nd Season,10.0
614643,Sury,49236.0,Youjo Senki: Sabaku no Pasta Daisakusen,7.0
43843,youtoome,137.0,Hunter x Hunter: Original Video Animation,8.0
486759,darkdragon25,8086.0,Densetsu no Yuusha no Densetsu,8.0
305702,guygui,21.0,One Piece,4.0
401588,Saucisson,28249.0,Arslan Senki (TV),7.0
75872,seiya_ookami,801.0,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,7.0
369868,Jonathan_,93.0,Kidou Senshi Gundam SEED,9.0
78950,Pyromitsu,190.0,Love Hina Again,9.0
1063011,X-Senpai,8516.0,Baka to Test to Shoukanjuu Ni!,6.0
371338,Ragna92,15583.0,Date A Live,7.0
319396,andrevieira,36245.0,Evil or Live,8.0
81667,Auron,4181.0,Clannad: After Story,9.0
487908,matry0shka,6421.0,Fullmetal Alchemist: Brotherhood Specials,8.0
357251,jakyan,13055.0,Sankarea OVA,7.0
743969,xReic,10378.0,Shinryaku!? Ika Musume,7.0
116969,Plutten,849.0,Suzumiya Haruhi no Yuuutsu,8.0
371448,divineraccoon,1261.0,Kyattou Ninden Teyandee,1.0
439568,PoundedHen,7791.0,K-On!!,8.0
458835,Kyllick,9515.0,Highschool of the Dead: Drifters of the Dead,6.0
1109541,Ashtar777,19221.0,"Ore no Nounai Sentakushi ga, Gakuen Love Comedy wo Zenryoku de Jama Shiteiru",6.0
98860,tunneln,8460.0,Mirai Nikki,3.0
511807,Kanon9,9213.0,Kowarekake no Orgel,9.0
293027,Elenka,21.0,One Piece,10.0
76836,Perposterone,227.0,FLCL,10.0
391517,iwantcandy2,39533.0,Given,6.0
310436,tiffanykrisp,8841.0,Kore wa Zombie desu ka?,8.0
596,TatsubeiYagyu,5.0,Cowboy Bebop: Tengoku no Tobira,8.0
523797,SgtPain,6351.0,"Clannad: After Story - Mou Hitotsu no Sekai, Kyou-hen",8.0
355565,SCARTER,29589.0,Denpa Kyoushi,7.0
59202,silenteria,6347.0,Baka to Test to Shoukanjuu,10.0
542093,JR516,5258.0,Hajime no Ippo: New Challenger,10.0
398959,Naryssa,553.0,Yami no Matsuei,8.0
32691,progia,1387.0,Yakin Byoutou,8.0
430741,Kiur,15809.0,Hataraku Maou-sama!,8.0
338264,Someya,8479.0,Hetalia World Series,10.0
316829,Nomi_Hyoji,24211.0,Orenchi no Furo Jijou,6.0
331620,TriCksTeR21,4654.0,Toaru Majutsu no Index,8.0
549783,caemnan,9919.0,Ao no Exorcist,7.0
30011,ruinthps,49918.0,Boku no Hero Academia 6th Season,7.0
53472,serasV,4970.0,Afro Samurai: Resurrection,7.0
90122,unicorna,8560.0,"Kyou, Koi wo Hajimemasu",4.0
470914,0verTim3,9253.0,Steins;Gate,7.0
1050725,Lemm,6682.0,11eyes,6.0
330220,DanyDarkly,120.0,Fruits Basket,10.0
534445,ShikabaneFan82,9919.0,Ao no Exorcist,8.0
